,Dataset,Model,Accuracy,Loss,F1-Score,Precision,Recall,AUC Score,RMSE,RÂ²,Execution Time
0,breast_cancer,MLPk_conf,0.956140350877193,0.1489269379526376,0.9655172413793104,0.958904109589041,0.9722222222222222,0.9503968253968256,,,12.260510921478271
1,breast_cancer,TabM_conf,0.9298245614035088,0.1874319612979889,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9246031746031746,,,11.796343803405762
2,breast_cancer,TabM_naive_conf,0.9473684210526316,0.4734268561005592,0.96,0.9230769230769232,1.0,0.9285714285714286,,,11.428782939910889
3,breast_cancer,TabM_mini_conf,0.9473684210526316,0.4937173426151275,0.9594594594594594,0.9342105263157896,0.9861111111111112,0.933531746031746,,,11.238826990127563
4,adult_income,MLPk_conf,0.8539256832838571,0.3179061641685324,0.6635227540674369,0.7393589069889648,0.6017964071856288,0.7675244988424443,,,689.265319108963
5,adult_income,TabM_conf,0.8554611526256526,0.3163795891930075,0.6694756554307116,0.7394002068252327,0.611633875106929,0.7719049472426046,,,789.2934181690216
6,adult_income,TabM_naive_conf,0.8573037158358071,0.3104051867000807,0.6701372456223379,0.75,0.6056458511548332,0.7710640775085161,,,741.7611157894135
7,adult_income,TabM_mini_conf,0.8599651960282526,0.3073379952290089,0.6814159292035398,0.7479550102249489,0.625748502994012,0.7797024038318195,,,700.2036921977997
8,california_housing,MLPk_conf,,1.3113831896190495,,,,,1.1293176412582395,0.026747731941919,165.98922896385193
9,california_housing,TabM_conf,,1.3122637151747711,,,,,1.1289920806884766,0.0273088502141658,172.81934905052185
10,california_housing,TabM_naive_conf,,1.3108984961990238,,,,,1.1241852045059204,0.0355740755722875,170.47881507873535
11,california_housing,TabM_mini_conf,,1.3155563727829809,,,,,1.129912257194519,0.0257227997212353,163.70256781578064
12,iris,MLPk_conf,0.9666666666666668,0.1868073493242263,0.9665831244778612,0.9696969696969696,0.9666666666666668,,,,10.356979846954346
13,iris,TabM_conf,0.8666666666666667,0.2849984169006347,0.8653198653198654,0.875,0.8666666666666667,,,,13.509331226348875
14,iris,TabM_naive_conf,0.7333333333333333,0.8873334527015686,0.6754850088183421,0.8324420677361855,0.7333333333333334,,,,14.535006284713743
15,iris,TabM_mini_conf,0.7,0.7722384929656982,0.6105499438832772,0.8071895424836603,0.7000000000000001,,,,10.562110900878906
16,wine_quality,MLPk_conf,0.5930769230769231,0.9974184486924148,0.2722413450627385,0.4194190122240174,0.26643297315433806,,,,209.09450697898865
17,wine_quality,TabM_conf,0.5692307692307692,1.0295430523593252,0.2410977679173447,0.24000071090051742,0.24505866728830683,,,,223.71441888809204
18,wine_quality,TabM_naive_conf,0.5515384615384615,1.0679003494541819,0.226798060640972,0.2343125723415008,0.22886541255477616,,,,228.08480381965637
19,wine_quality,TabM_mini_conf,0.5523076923076923,1.0818735172108906,0.22483670579277032,0.23806762353547647,0.22641534980208763,,,,204.172856092453
