Dataset,Model,Accuracy,Loss,F1-Score,Precision,Recall,AUC Score,RMSE,RÂ²,Execution Time
breast_cancer,Simple_MLP,0.3684210526315789,0.711556538939476,0.0,0.0,0.0,0.5,,,3.371133804321289
breast_cancer,MLPk,0.956140350877193,0.1401496659964323,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.945436507936508,,,6.2668540477752686
breast_cancer,MLPk_conf,0.956140350877193,0.1489269379526376,0.9655172413793104,0.958904109589041,0.9722222222222222,0.9503968253968256,,,12.260510921478271
breast_cancer,XGBoost,0.9473684210526315,,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9917328042328042,,,0.06368517875671387
breast_cancer,LightGBM,0.9649122807017544,,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9890873015873016,,,0.15671753883361816
breast_cancer,TabM_naive,0.9473684210526315,0.47928406298160553,0.96,0.9230769230769231,1.0,0.9285714285714286,,,12.164258003234863
breast_cancer,TabM_naive_conf,0.9473684210526316,0.4734268561005592,0.96,0.9230769230769232,1.0,0.9285714285714286,,,11.428782939910889
breast_cancer,TabM_mini,0.9385964912280702,0.5058325901627541,0.9523809523809523,0.9333333333333333,0.9722222222222222,0.9265873015873016,,,12.056304454803467
breast_cancer,TabM_mini_conf,0.9473684210526316,0.4937173426151275,0.9594594594594594,0.9342105263157896,0.9861111111111112,0.933531746031746,,,11.238826990127563
breast_cancer,TabM,0.9298245614035088,0.16424296610057354,0.9452054794520548,0.9324324324324325,0.9583333333333334,0.9196428571428572,,,5.777554988861084
breast_cancer,TabM_conf,0.9298245614035088,0.1874319612979889,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9246031746031746,,,11.796343803405762
breast_cancer,TabM_Attention,0.956140350877193,0.12222192157059908,0.965034965034965,0.971830985915493,0.9583333333333334,0.9553571428571429,,,3.9152636528015137
breast_cancer,TabM_pruned4,0.9123,0.010065078996775443,0.923105917828873,0.8681318681318682,0.9855130784708249,0.8691684993683029,,,5.460657119750977
breast_cancer,TabM_NonLinear,0.947368,0.348650,0.959459,0.934211,0.986111,0.933532,,,6.048709
breast_cancer,TabM_piecewise,0.885965,0.271300,0.906475,0.940299,0.875000,0.889881,,,27.295521
breast_cancer,FT-Transformer,0.9649122807017544,0.1322375544696115,0.971830985915493,0.9857142857142858,0.9583333333333334,0.9672619047619048,,,17.0974249839783
breast_cancer,Excel-Former,0.9385964912280702,0.3714332692325115,0.950354609929078,0.9710144927536232,0.9305555555555556,0.941468253968254,,,23.2692679166794
breast_cancer,T2g-Former,0.956140350877193,0.3126980924134841,0.9645390070921985,0.9855072463768116,0.9444444444444444,0.9603174603174603,,,18.5734769105911
adult_income,Simple_MLP,0.7606715119254785,0.5507061391874076,0.0,0.0,0.0,0.5,,,86.111652135849
adult_income,MLPk,0.8544375063977889,0.31812258534669097,0.6589928057553956,0.75,0.5876817792985458,0.7630240413112296,,,351.04402017593384
adult_income,MLPk_conf,0.8539256832838571,0.3179061641685324,0.6635227540674369,0.7393589069889648,0.6017964071856288,0.7675244988424443,,,689.265319108963
adult_income,XGBoost,0.8747057017094892,,0.7134831460674157,0.7880041365046536,0.6518391787852865,0.9297342796384277,,,1.5756239891052246
adult_income,LightGBM,0.8756269833145665,,0.7153900210822206,0.7907819782496116,0.6531223267750214,0.9299501809576534,,,1.2573821544647217
adult_income,TabM_naive,0.8573037158358071,0.3105438074303998,0.6747550163322446,0.742299794661191,0.6184773310521814,0.7754612466053533,,,363.1805274486542
adult_income,TabM_naive_conf,0.8573037158358071,0.3104051867000807,0.6701372456223379,0.75,0.6056458511548332,0.7710640775085161,,,741.7611157894135
adult_income,TabM_mini,0.8595557375371071,0.3067569022426029,0.6847426470588235,0.7398212512413108,0.6372968349016254,0.7833907132387281,,,351.0492687225342
adult_income,TabM_mini_conf,0.8599651960282526,0.3073379952290089,0.6814159292035398,0.7479550102249489,0.625748502994012,0.7797024038318195,,,700.2036921977997
adult_income,TabM,0.8553587880028662,0.31728868800051074,0.6668238622966282,0.743037309511298,0.6047904191616766,0.7694925046958968,,,364.4961926937103
adult_income,TabM_conf,0.8554611526256526,0.3163795891930075,0.6694756554307116,0.7394002068252327,0.611633875106929,0.7719049472426046,,,789.2934181690216
adult_income,TabM_Attention,0.8552564233800799,0.3156390921304039,0.6920731707317073,0.7049689440993789,0.6796407185628742,0.7950753720657191,,,253.7188959121704
adult_income,TabM_pruned32,0.8266,0.012332033093308265,0.569175991861648,0.6814859926918392,0.488646288209607,0.7093585766492614,,,460.2349967956543
adult_income,TabM_NonLinear,0.854233,0.320077,0.666823,0.736054,0.609495,0.770365,,,325.748835
adult_income,TabM_piecewise,0.837445,0.350984,0.626704,0.695720,0.570145,0.745845,,,5100.998031
california_housing,Simple_MLP,,4.915055955103202,,,,,2.216993492750785,-2.7507833214329946,19.999926328659058
california_housing,MLPk,,1.3242751461590907,,,,,1.1281632419575112,0.02873658543980262,81.88243317604065
california_housing,MLPk_conf,,1.3113831896190495,,,,,1.1293176412582395,0.026747731941919,165.98922896385193
california_housing,XGBoost,,,,,,,0.46509279263533776,0.8349283933639526,0.34336066246032715
california_housing,LightGBM,,,,,,,0.46225702695983856,0.8369352147191629,0.24157214164733887
california_housing,TabM_naive,,1.311777769133102,,,,,1.1250411417164956,0.0341049323116841,93.62246751785278
california_housing,TabM_naive_conf,,1.3108984961990238,,,,,1.1241852045059204,0.0355740755722875,170.47881507873535
california_housing,TabM_mini,,1.312856888124185,,,,,1.130375737217591,0.024923266955321655,80.98594522476196
california_housing,TabM_mini_conf,,1.3155563727829809,,,,,1.129912257194519,0.0257227997212353,163.70256781578064
california_housing,TabM,,1.3140605138253796,,,,,1.1321775532853509,0.0218122497577673,83.86122632026672
california_housing,TabM_conf,,1.3122637151747711,,,,,1.1289920806884766,0.0273088502141658,172.81934905052185
california_housing,TabM_Attention,,1.4135018554768821,,,,,1.198063593696174,-0.09534992228614003,56.5559196472168
california_housing,TabM_pruned32,,100.04210869840874,,,,,,1.0999678378666633,0.07667814957434416,133.39553928375244
california_housing,TabM_NonLinear,,1.310494,,,,,,1.123059,0.037506,76.156413
california_housing,TabM_piecewise,,1.312930,,,,,,1.133355,0.019777,165.256790
california_housing,FT-Transformer,,0.289128670281218,,,,,0.5377068626780132,0.7793599749720784,232.782894015312
california_housing,Excel-Former,,0.2528536752328392,,,,,0.5028455769150029,0.8070421692322702,318.508389472961
california_housing,T2g-Former,,0.3042584327302238,,,,,0.5515962608290672,0.7678141407942916,185.320358753204
iris,Simple_MLP,0.3333333333333333,0.9811794757843018,0.16666666666666666,0.1111111111111111,0.3333333333333333,,,,1.7529315948486328
iris,MLPk,0.9,0.24910369515419006,0.899749373433584,0.9023569023569024,0.9,,,,5.357752084732056
iris,MLPk_conf,0.9666666666666668,0.1868073493242263,0.9665831244778612,0.9696969696969696,0.9666666666666668,,,,10.356979846954346
iris,XGBoost,0.9333333333333333,,0.9333333333333332,0.9333333333333332,0.9333333333333332,,,,0.04265117645263672
iris,LightGBM,0.9,,0.899749373433584,0.9023569023569024,0.9,,,,0.03975343704223633
iris,TabM_naive,0.7666666666666667,0.9756516218185425,0.7340930674264007,0.8627450980392157,0.7666666666666666,,,,6.812136888504028
iris,TabM_naive_conf,0.7333333333333333,0.8873334527015686,0.6754850088183421,0.8324420677361855,0.7333333333333334,,,,14.535006284713743
iris,TabM_mini,0.6666666666666666,0.9567027688026428,0.5411255411255411,0.46296296296296297,0.6666666666666666,,,,5.3031532764434814
iris,TabM_mini_conf,0.7,0.7722384929656982,0.6105499438832772,0.8071895424836603,0.7000000000000001,,,,10.562110900878906
iris,TabM,0.8333333333333334,0.4249521493911743,0.8294970161977835,0.8498168498168498,0.8333333333333334,,,,6.5311439037323
iris,TabM_conf,0.8666666666666667,0.2849984169006347,0.8653198653198654,0.875,0.8666666666666667,,,,13.509331226348875
iris,TabM_Attention,0.9666666666666667,0.25568902492523193,0.9665831244778613,0.9696969696969697,0.9666666666666667,,,,5.891069412231445
iris,TabM_pruned9,0.3333333333333333,0.035594618320465087,0.17251336045305896,0.28873974645786726,0.3338989898989899,,,,7.65775728225708
iris,TabM_NonLinear,0.866667,0.787319,0.865320,0.875000,0.866667,,,,5.070998
iris,TabM_piecewise,0.900000,0.541377,0.897698,0.923077,0.900000,,,,7.869920
iris,FT-Transformer,0.9666666666666667,0.1817254275083542,0.9665831244778612,0.9696969696969697,0.9666666666666667,,,,7.525758266448975
iris,Excel-Former,0.9333333333333333,0.1429658979177475,0.9333333333333332,0.9333333333333332,0.9333333333333332,,,,9.120937824249268
iris,T2g-Former,0.9666666666666667,0.1857118159532547,0.9665831244778612,0.9696969696969697,0.9666666666666667,,,,8.820140361785889
wine_quality,Simple_MLP,0.5446153846153846,1.0822728043649255,0.2264080261418437,0.23058113526115237,0.2288088998146853,,,,27.211507320404053
wine_quality,MLPk,0.5807692307692308,1.0044147997367672,0.24984735322386672,0.27689733821778,0.2521525631512073,,,,103.08261394500732
wine_quality,MLPk_conf,0.5930769230769231,0.9974184486924148,0.2722413450627385,0.4194190122240174,0.26643297315433806,,,,209.09450697898865
wine_quality,XGBoost,0.6661538461538462,,0.38474643373163125,0.45277818645054285,0.35939783383920787,,,,0.8313913345336914
wine_quality,LightGBM,0.6553846153846153,,0.3836616875572022,0.4534167329086841,0.35756173581930917,,,,0.9719748497009277
wine_quality,TabM_naive,0.5546153846153846,1.067877406027259,0.2285585562243903,0.23793337966061506,0.23011899463835378,,,,110.09617400169373
wine_quality,TabM_naive_conf,0.5515384615384615,1.0679003494541819,0.226798060640972,0.2343125723415008,0.22886541255477616,,,,228.08480381965637
wine_quality,TabM_mini,0.5423076923076923,1.0807792835119294,0.21814473831904652,0.23840719903407429,0.21953757273071917,,,,100.05831861495972
wine_quality,TabM_mini_conf,0.5523076923076923,1.0818735172108906,0.22483670579277032,0.23806762353547647,0.22641534980208763,,,,204.172856092453
wine_quality,TabM,0.5576923076923077,1.0573136573884545,0.2401064348784653,0.3054534463871312,0.24058334564073483,,,,110.87347793579102
wine_quality,TabM_conf,0.5692307692307692,1.0295430523593252,0.2410977679173447,0.24000071090051742,0.24505866728830683,,,,223.71441888809204
wine_quality,TabM_Attention,0.563076923076923,1.0047505657847335,0.27878661226075524,0.4069947265643309,0.26815124573375887,,,,95.9321219921112
wine_quality,TabM_pruned32,0.42,0.04551545473245474,0.14721476210793313,0.14994041929533303,0.1576178584968082,,,,112.75495839118958
wine_quality,TabM_NonLinear,0.541538,1.070259,0.223460,0.228208,0.226000,,,,95.920211
wine_quality,TabM_piecewise,0.550000,1.052914,0.229666,0.227163,0.234420,,,,241.280555
wine_quality,FT-Transformer,0.6053846153846154,1.1237841422964887,0.35579829872207513,0.3646386619025555,0.34904634824812636,,,,234.188826441765
wine_quality,Excel-Former,0.6207692307692307,1.2632224661547964,0.3719550951343373,0.37840559688001646,0.3671017316769793,,,,198.701212644577
wine_quality,T2g-Former,0.5938461538461538,1.075463188857567,0.34516088632674463,0.3726324000473538,0.3340381861252065,,,,176.627799272537
